business_id	text
mLwM-h2YhXl2NCgdS84_Bw	Great soul food period , it's get no better, come and get it. They have lamb too !! Chicken, ribs, bbq chicken and sides to boot !! Pure awesomeness !!
mLwM-h2YhXl2NCgdS84_Bw	South Florida resides on the east side of Charlotte inside of a convenience store....a little sketchy but the food is really good.  They serve breakfast all day(chicken and waffles, fish and grits, etc) lunch and dinner.  They are grilling chicken, ribs, and pork chops right in the parking lot and although I haven't tried the ribs, the grilled pork chops and chicken are perfectly cooked.  I also tried the fried chicken, green beans, lima beans, potato salad, stewed squash, and seafood salad...all excellent!  The only thing I wasn't impressed with was the Mac n cheese.  They also offer homemade desserts, fruit and salad.  Great addition to the soul food scene!
mLwM-h2YhXl2NCgdS84_Bw	So this place is in the c-store. A little skeptical of the atmosphere but go in the day time and it's alright.  My food was good . I had turkey wings yams and green beans.  Very good turkey wings. Yams were not to sweet just the way I like it.  Will try again.  Sometimes taking a chance works!
mLwM-h2YhXl2NCgdS84_Bw	Amazing food!! I can't believe it almost taste like my 100 year old grandfathers food, God rest his soul. Even though these guys are displaced and have opened up shop in Nubian Queens Restaurant, they did not let that come across in the food  they prepared! I'm a patron from here on out!
v2WhjAB3PIBA8J8VxG3wEg	My new ritual is drinking tea every night after dinner, rather than just in the morning. I'd never really found a good decaffinated tea that I liked; they all seemed so processed and gross. Until I ran across the Tea Emporium, that is.\n\nI was ambling along the Danforth and passed the Tea Emporium's newest storefront. The store is small, but very pleasant. As you'd imagine, it has a good selection of teapots and teacups for sale, as well as other tea-related accoutrements. \n\nTheir tea selection is outstanding. Also outstanding is the sweet employee who took a ton of time trying to understand what kind of teas I like and what time of day I wanted to drink said teas. She proceeded to open about 574 canisters so I could smell each and every one, and offered little commentaries on each one. I settled on a Rooibos herbal tea called "Rooibos Province Organic", a South African red bush tree blended with lavender, rose petals, black and red currants, raisins, and rosehip. It smelled divine and I can't wait to try it.\n\nThe teas are priced around $10.50-$12.00 for 100 grams; the minimum they'll sell is 50mg, so you do the math. I also purchased a handle-free tea cup for $7, which is important so you don't burn your mouth. Like Teavana, they also make all kinds of teas there for you, as well, from tea lattes to (real) iced tea. :-)
v2WhjAB3PIBA8J8VxG3wEg	These people know there stuff! They are not herbalists, but rather tea connoisseurs.  If you can find something the staff can not answer, They will ether try and find out for you or direct you to where you can find the info yourself. I admire this as I'm a no BS type of person. They were very helpful and friendly.\n\nThe store it's self looks cozy and inviting. It smells amazing as soon as you step in the door. I'll be returning soon.  :)
v2WhjAB3PIBA8J8VxG3wEg	Yes another tea place with a zillion varieties of loose leaf tea.\n\nI love the concept, don't get me wrong, but I just can't justify giving any of these place ridiculously high ratings because they are just all so similar and thus only A-OK in my books.\n\nThe Tea Emporium is a bit more old fashioned and kitschy looking, when compared to say, the David's Tea chain. They had lots of tea but not quite as many tea "accessories". \n\nYou can order single takeaway cups for $2.05. I tried an apple tea variety and it was ok. There's not really any seating inside so you'll have to get your tea to go.
v2WhjAB3PIBA8J8VxG3wEg	Having recently discovered the joy of drinking a delicious tea on a chilly day, stepping into this place early last night, on my way to dinner with a bunch of yelpers, was in a word fantastic.\n\nTea Emporium has an amazing selection of teas on the menu to enjoy freshly brewed on the spot, or take out...or you can buy their loose leaf teas to take home and enjoy.  Their menu of tea offerings seemed endless and believe me, I wanted to try them all.\n\nDuring my visit there last night, I ordered the Rooibos Vanilla and it was quite possibly the most delcious tea I've ever had...however, I also spotted another tea, African Queen, which I cannot wait to try next time I stop in.  It's more the likely to rival the one I had last night...can't wait!\n\nThe store itself is small, but very welcoming and nicely decorated.  They have a few seats for folks to sit and enjoy their tea, but I can't imagine it woudl accommodate more than 2 or 3 people comfortably.  The girl who served us was really nice and the ambiance was quite pleasant.\n\nIf their selection of teas isn't enough to make you a fan then you will certainly appreciate the beautiful tea cups and teapots they also have on offer.
v2WhjAB3PIBA8J8VxG3wEg	I'm a tea freak.  I've got about 40 or 50 canisters/packages of tea. Bagged tea/loose leaf.  I've got tea accessories.  I've got books about tea. I dream of doing a tea tour of Holland and Russia.   I like tea.\n\nI've been used to going to Chinatown 3 and Kensington and St. Lawrence Market for my tea hits.  Or NYC, but that's a bit of a trip when what I want is a new tea.\n\nFound this location of the Tea Emporium when a friend and I were looking for a beverage before dance class.  My friend was looking for a tea to make her MIL happy during their next visit.  I just needed tea to drink right then.\n\nThe lovely lovely woman running the shop that night directed me to the Swiss Schoko - chocolate, almonds and calendula on a black tea base.  Terrific with honey.   I started savouring while the staffer led my friend through variations of first flush Darjeeling (ranging in cost from about $15 - 50/100 gms - at the high end, they will sell 10 gms).  Terrific service and advice.  \n\nI'll be back at least once a week for a tea - and an occasional top up of a tea canister or two.
v2WhjAB3PIBA8J8VxG3wEg	As another recent tea convert, trying to break my afternoon coffee habit. An afternoon pot of their "Royal Earl Grey" made in a cheap and cheerful infuser from a local kitchen shop, and the world honestly comes more alive. It has got to be the most delicate and perfectly blended tea I have ever had. \n\nThey also have a 'creamed' Earl Grey, which I have yet to try, but I am working my way through their Chai teas one by one.\n\nSomething nobody noticed to say, is their actual tea. After the pot is done, I am always amazed at the complexities of the actual tea, once it is plumped back up. It's a virtual garden in most of them, and from what they said, they blend most of their teas themselves, by hand.\n\nTheir craftsmanship shows.
v2WhjAB3PIBA8J8VxG3wEg	I've been going to the Tea Emporium for years.  They are the ones who introduced me to tea in fact :)  The quality and the selection of teas here are just spectacular both for flavoured and non-flavoured teas.  This is a place for a real tea connoisseur -- David's tea is a fun place but the quality of the tea here is simply better.  The flavoured teas have better ingredients and the taste is not as chemical and in your face as David's tea (don't get me wrong I actually like David's tea for some teas but as a rule Tea Emporium has a lot more of really spectacular teas).  For non flavoured teas this shop wins hands down.
n33Izvzk_z9_51H6NsQF-A	Count your fingers after they hand you a receipt.  I shop here mostly for meat. Started using their app for the Just for U deals.  3 out of 4 times they overcharge me (I don't get the coupon price or they give me the price and charge me for more units than I place on the belt).  I then have to wait at the customer service counter for a refund while the customer service person tries to convince me I was correctly charged.  Last time they gave me a cash refund but rounded down and stiffed me for the tax I paid. Nuff said.
n33Izvzk_z9_51H6NsQF-A	Had a misunderstanding with a cake design when picked up a cake. The bakery manager really took charge and made my cake amazing and what i wanted!!!  Great place to get custom cakes!!!!!
n33Izvzk_z9_51H6NsQF-A	General okay but no fry's when it comes to price and always have to wait in line. If no line you will probably have to ring a bell. Lol
n33Izvzk_z9_51H6NsQF-A	I sometimes stop at this Safeway because it is convenient. The reviews I have seen are correct, they need more staff (or) to staff at the appropriate times when it's busy. The lines are always super long and their customer service does lack. I do feel bad saying it lacks as the checker's are normally just as frustrated as the customers due to the never ending lines. \n\nI did also have a small incident with Pom Pomegranate Seeds (Pom is the brand.) I normally check all my expiration dates on anything that is perishable because there is nothing worse than pulling something from the fridge to eat it and it's gone bad. Anyway, I was in a rush and didn't look when I bought these and of course they had expired the week before. I will give it to the customer service desk, I took both tubs in that i bought the evening before and she promptly gave me my money back. Moral of this story: ALWAYS check your expiration dates. I was pleased with how she handled the return though, she did not give me any push-back which was a nice surprise. \n\nIf the management team can figure out the right number of checkers during certain hours this would definitely help their rating and my frequency for shopping here. \n\nSometimes a girl just don't have time to wait in long lines.
n33Izvzk_z9_51H6NsQF-A	I keep going to this store because the customer service is spectacular for a grocery store. They go above and beyond to assist and help you out in anyway - they always ask if you need help finding anything - they offer assistance with carrying items - very knowledgeable of their store and where items are located.\n\nContrary to popular belief Safeway actually offers some of the best deals on grocery items I have seen compared to the other stores around my area such as Wal-Mart/Albertsons/Bashas etc. - They stay very competitive. I'm not sure how this store doesn't get a better rep? Customer service is really their number one goal, so if you have a problem don't be afraid to say something because they will help you solve it without belittling you such as what happens at most Wal-Marts. \n\n@Max C. - The checkout experience can be a little slow at times especially if you go to this particular store after 8pm and they don't have any self checkout lanes but they try to make the best of what they got. They also read your last name after finishing the order because it's trying to show you that they care, it's the little things that matter, if that is a bother for you then please head over to Wal-Mart.
n33Izvzk_z9_51H6NsQF-A	This place rarely has enough staff working.  Too many times, usually in the late afternoon on the way home from work, the longs are soooo long.  The rarely have more than 2 lines open meaning it is longer to get out of the store than it is to shop.  Never see the manager working nights to witness this operation.  I am afraid management is looking at sales reports and filling out the schedule based on numbers.  Unfortunately, customers are working out without buying anything once they see the long lines.\n\nHate shopping at this Safeway.
n33Izvzk_z9_51H6NsQF-A	I avoid this place like the plague.  They are always slow in the check out area.  Rarely are more than 2 lanes open.  The parking lot is a mad house.
n33Izvzk_z9_51H6NsQF-A	Horrible !!!! Only 2 lanes open and 5 people deep. I asked for another lane to be open and that took another couple of minutes total time in line 12 minutes. This is not the first second or third time this has happened it's every time I go in there. The management fucking sucks!!!!!! I asked to see the manager and he pretended to be oblivious to the situation.\nI asked him if he ever reads the store reviews and again he had "no clue" what I was talking about. This place is fucking ridiculous !!!! And definitely needs new management.
n33Izvzk_z9_51H6NsQF-A	Terrible NEVER USE SAFEWAY GROCERY DELIVERY! \n\nMade an order, it never got delivered and per Maureen with Safeway Grocery customer Service my order was cancelled doesn't know why, but it was cancelled. Nothing they can/will do about it! TERRIBLE CUSTOMER SERVICE. Oh and I was told yea we see you used a promo, you won't be able to use it again. Sorry wish there was something we could do....... NEVER AGAIN WILL I MAKE THIS MISTAKE! I will stick to shopping from FRYS food store and just do my order pick ups there! They don't let their customers down! They don't cancel orders for no reason, they have resolutions for their customers!!!
n33Izvzk_z9_51H6NsQF-A	So it's not the most glamorous Safeway, but it's also not the worst. Its decent, average in size and close to my place! Friendly staff.
n33Izvzk_z9_51H6NsQF-A	I really like this Safeway. It seems to be well organized and the selection of foods are pretty good. The last time I was here I got something from the hot case to eat for dinner and the fried chicken was okay. Nothing exciting. \n\nIt does almost never fail to be long lines when I am ready to check out...except for that one time I went after 10pm.
n33Izvzk_z9_51H6NsQF-A	Good enough selection for just about anyone and overall a very clean place.  Service was very friendly and accomodated all requests.  Conveniently located near home nested with a variety of other stores in the same shopping center.
n33Izvzk_z9_51H6NsQF-A	This store sucks!!!!\n3's a crowd is crap. The only reason I went there because close to me\nI waited in line longer than I shopped\nRather drive 5 min down road to frys market place.   Nobody apologized for 15 min wait for a one item check out
n33Izvzk_z9_51H6NsQF-A	I can't tell you how many times I've been in this store when they had a line of customers at the ONE register they have open.  One evening I stopped after work and ended up in a line nine people long!  They did finally open one other register that time.  It's always slow, there's almost always only one register open and they don't have any self check-outs.  After 8 years of living here and coming to this Safeway periodically I think I'm done with this store.  There are 4 other grocery stores within 2 miles, don't waste your time here.
n33Izvzk_z9_51H6NsQF-A	Absolutely HATE this safeway ..besides the fact that they are way understaffed & it's taken me as long as 20 min to check out ..they have the rudest cashiers I've ever seen ..and lazy !\nI only go here if it's a emergency! !!
n33Izvzk_z9_51H6NsQF-A	I want to say first I am not from his area and when I saw a Safeway I was happy because I know I have a Safeway card and I can use the just for you app. Not a problem. The place is beautiful.!! They need a better selection of food. I guess its just for that "area" but again it was not far from my new apartment. Now the Starbucks workers in there are very selective with who they speak to. Its like they were afraid or something. That automatically turned me off. Not to mention the cashier wouldn't even speak to and the girl who was bagging even walked away. I kid you not!!! I will go to the one that is even closer to me off Alma Rd their customer service sucks and that's all I need not to go. It was my first and last time. Safeway needs to do something about that.
