business_id	text
--6MefnULPED_I942VcFNA	Good quality Chinese food.  Decor is nice for a Chinese restaurant.  The BBQ pork is probably the best in the city.  Served hot, it's very flavorful and moist.  The other dishes do not disappoint either.  The stirfries are all good with a good "wok hay".  Food is always hot and fresh and service is good.
--6MefnULPED_I942VcFNA	If you're a true Chinese food enthusiast, you'll need to visit this restaurant.  It's not your typical $5/plate restaurants. Plate averages $15+, but the quality and variety they offer are excellent (ie. bitter melon with dried scallop scrambled egg....nom...).  \n\nThe service on the other hand will need much improvement.  So usually I just come for take out to avoid the grumpy faces :)
--6MefnULPED_I942VcFNA	Six dollars combo include free soup and one main course. Wesley and Brian's dish look better than mine.
--6MefnULPED_I942VcFNA	The BBQ meats here are the only items I find excellent. Served hot, the meat was succulent, especially my favourite BBQ pork. The BBQ pork is a perfect balance of sweet and savoury. The soybeans underneath were an extra treat. They were sweet and so flavourful that I could have had them on their own.\n\nThe items on the main menu are fairly pricey. While the food is certainly satisfying, I wouldn't consider the price point proportional to the taste. They do have a special menu (all in Chinese) with smaller dishes that are all $7.99 that my family usually orders from. It allows us to have a variety of dishes without breaking the bank. Beef with bitter melon is a simple dish, but one of our favourites here. The size of the dishes are smaller of course, but the quality doesn't differ too much from the main menu. \n\nWhat really detracts from this establishment is the service. Having eaten at more than my fair share of Chinese restaurants, I do not expect extremely attentive service (nor do I really desire it), but the service during my previous visit was borderline rude. One of the servers walked away when she saw us come in, and brusquely commanded a co-worker to seat us. When we ordered our food, the server asked condescendingly if all the dishes we ordered were from the special menu. The complimentary desserts (yes, I know it's complimentary but still) were put onto our table while we were still a considerable ways from finishing dinner. \n\nPerhaps I'm being a bit dramatic, but considering the fact that this is not your average Chinese restaurant, I did hold a slightly higher standard. They are also capable of exceptional service, as evidenced by my first visit, when I was with a larger party and ordering more expensive dishes. The difference in service was also noticeable during my last visit, when there was one party holding a feast in the adjacent room. It's understandable that close friends or VIPs are treated extra special, but that's no excuse for being ill-mannered to the average patron.
--6MefnULPED_I942VcFNA	If you want a quick fix for a scrumptious char siu or chinese pork bbq, this is theeee place.  Hot and fresh, nicely charred and crunchy on the outside, and loaded with flavor.  The soy-ed & sweet beans in which it bathes its tender juicy meat gives this dish the best taste everyone will keep talking about and crave for - I know because we do!  ;-)\n\nThey offer other great dishes too and its delicious!  2 setbacks though: more pricey for the same items we can find elsewhere, and the serving size a disappointment.  Another unfashionable thing is the Cash Only.  \n\nIt has never been too busy in all the lunch hours we went there but their take-outs are quite busy.  This is also a very family friendly restaurant so we gladly bring our little ones along.
--6MefnULPED_I942VcFNA	The bbq pork is very juicy and I only come here for that. The price is a tad bit on the higher end and portion is small. Everything else is average...servers are consist of two chubby sister whom I believe are also owners, a grandmother standing near the kitchen to pass on the food and two older men server. I personally don't like the owners that much. They seem rude and greedy at times. They seem to favor big crowds which equals to more $$$ and ignore the smaller group.
--6MefnULPED_I942VcFNA	My family has been taking me to this restaurant once in a while over the last 15 years and we saw the growth from one tiny restaurant to expanding it by buying the adjacent store and joining them to expand the floor area.\n\nTheir lunch menu is $7.50 per dish. We had the stir-fried rice noodle with beef and it was delicious. This restaurant prides itself in serving quality dishes and it didn't disappoint me. The award-winning char-siu is cooked when ordered. While it will take time for the dish to be served, this guaranteed its freshness
--6MefnULPED_I942VcFNA	This restaurant is famous for their BBQ dishes and they are actually very good. It also has a variety of other non-BBQ dishes. Compare to other places that sell BBQ dishes, this restaurant is a bit pricey but their dishes are pretty good.
--6MefnULPED_I942VcFNA	Johns Chinese BBQ ruined Char Siu Pork for me.. Forever. I cannot eat it at dim sum, or a Chinese food court, or anywhere for that matter, without thinking about John's Char Siu.\n\nI discovered this place through Nick Liu of DaiLO. He took his team here for staff meal, and he claimed the Char Siu Pork was the best in the GTA. I took his word for it and made the HWY 7 trek out to Richmond Hill on a snowy day\n\n$8.50 gets you a decent portion of char siu bbq porn sliced on top of rice and topped with the light gravy. The pork is smoky, sweet, moist, cooked perfectly, and succulent.\n\nThere is not much left to say either than come here and try the pork.\n\n**Minus one start for unfriendly service, as noted by other Yelp reviewers. The lady at the cash knows she has the real deal char siu, and she DGAF about anybody.
--6MefnULPED_I942VcFNA	The incredibly rude woman behind the cashier whom I assume owns the restaurant (since she does not wear a uniform) left a bad taste in my mouth. Her demeaning attitude spoiled the taste of their food afterwards for me and I can't help but think it's because of my race due to the different way in which she treated other customers.
--6MefnULPED_I942VcFNA	Best tasting BBQ pork in the region! I started coming here 10 years ago after my colleagues recommended it.  We still pick up pork here for my family even though I've converted to a meat free diet 4 years ago.  But my family members always say this place is still their top choice
--6MefnULPED_I942VcFNA	Wow, what a jerk! I don't write terrible reviews but this one is a piece of work. I ordered takeout from them and they skipped the soup because I am not a regular. I asked my friend later and apparently they only give you soup when you ask them after you realize you got ripped off. They are gambling on the idea that you will forget. How cheap can they get? They already charge me 9 bucks for just a small  dish. Never going there again. Will not recommend to friends. Terrible way to do business and very disappointed.
