business_id	text
YDf95gJZaq05wvo7hTQbbQ	Eh, there's not a lot of stores here at this mall that interest me, but it is nice that there's a movie theater here and close proximity to good Mexican (La Fiesta) and Chinese food (Hunan East) so you can spend a night shopping, having some good dinner, and then catching a movie.  The main department stores here are JCPenny, Sears, and Macys.
YDf95gJZaq05wvo7hTQbbQ	The only mall worse than this one is Midway.  Just a bunch of people standing around, loitering, not spending money.  No bookstore, all the nice stores have gone.  Avoid.
YDf95gJZaq05wvo7hTQbbQ	I went here for a premier, I was so lost in the parking lot trying to find the theater I felt like a tourist lol. Typical west sider :). Once I got in everything was overwhelming, lines everywhere but no signage and no one knew where to go. Once it was figured out we went to concession. Very pricy even for theater standards. Movie was great, service was friendly and upbeat. I didn't go in the rest of the Mall just the theater,
YDf95gJZaq05wvo7hTQbbQ	This place kind of looked like a dump. The only reason I went there was to see a free advanced screening of Unknown at the movie theater. I was eager to leave quickly once I exited the theater!
YDf95gJZaq05wvo7hTQbbQ	There is so much to do at Richmond Town Square. You can go to the movies, go grab a bite to eat, or just go shopping. There are numerous stores to shop at, and the it is the perfect size to have a good adventure. \n\nIf you haven't visited and are someone who looks to be optimistic, spice life up and try new things, there really is a lot to do at Richmond Town Square. If you need a new phone, then visit Best Buy Mobile. If you are looking for men's formal wear, then visit Milanos Men's Wear. If you are looking for women's formal wear, then visit Ruby's. If you want to get in shape or exercise more, then join Planet Fitness. There are a lot of stores here. The possibilities are endless. It is a mall! And I'm happy I found a nice pair of shoes!
YDf95gJZaq05wvo7hTQbbQ	What a shame.  This used to be a vibrant mall with decent stores and pleasant food court.  Now the halls are bereft of major brand names except Sears, JCP, VS, and Macys - all of which are not quite shining examples of their name brands.  Where vendors such as Barnes & Nobles, Ruby Tuesdays, Mrs. Fields, and Starbucks used to be are now occupied by ghetto wear, discount wigs, cell phone bling, and vacancy signs. \n\nI mean Starbucks left for goodness sakes... a Starbucks!  Really??  I mean when was the last time you saw a Starbucks pack up and leave anything?!\n\nUnfortunately, this mall is well on its way into ghetto-ness - an unfortunate by-product of the decline of the neighborhood surrounding it.  It seems to be following in the footsteps of the once great Northfield and Euclid Malls, both which succumbed to the sprawling ghetto and eventually fell into major disrepair and closure.  I actually feel sorry for the poor retirees who I see occasionally walking through this place which I'm sure was much different in their heyday long ago.\n\nThe only reason I come to this mall twice a year is because I really like my dentist (Dentalworks in Sears) whom I've seen for years. But with the limited shopping choices and the downright ghetto feel, I don't do my shopping here.
YDf95gJZaq05wvo7hTQbbQ	Really the only reason to come here is for Macy's...but even that is outdated and a bit dirty.  Just come prepared that you aren't shopping in a brand new mall with all the latest and greatest!
YDf95gJZaq05wvo7hTQbbQ	This place is a disaster area.  The 3 main stores of Macy's, JcPenny's, and Sears are the only thing keeping this mall from becoming a thing of the past.  Wig stores, cheap jewelery, make-up shops each 10 feet, and perfume / cologne stores are pretty much the attraction here along with retail stores that you have never heard of.  But as a mall owner trying to make money, I guess you have to cater to your clientele accordingly.  \n\nI live in Richmond Heights and shop in Beachwood or Mentor.  I recommend you do the same. \n\nNow I do have to make mention that Hunan East and Taj Indian are good restaurants worth stopping into if you do go to the mall and want a bite to eat other then mall food.  Hunan is on Richmond and Taj is on Wilson Mills.
YDf95gJZaq05wvo7hTQbbQ	This place is well on its way to closing.  I used to enjoy walking this mall but now it has become a destination mall where I go only when I need something at Penney's and I prefer going to Great Lakes Mall in Mentor.  The Richmond Heights police blotter has shop lifting cases every week from Penney's and Sears doesn't do much better. I was at a city council meeting where someone said that the mall is safe - I don't agree.  I'd never go to the theater - they've had teenagers fighting in the lobby.  I hate to see the mall close but if it is still open in 5 years I'll be really surprised.  So glad that Beachwood and Legacy are close.
YDf95gJZaq05wvo7hTQbbQ	This is a small mall with no standout stores, and many stores with below average quality merchandise. This mall is too small to even take a leisurely stroll-browse through.\n\nOne positive for Richmond Town Square is that it has a large movie theater, but honestly, its probably the most expensive movie theater in the area, so it is not a huge selling feature.\n\nNot worth the visit, skip this mall!
YDf95gJZaq05wvo7hTQbbQ	This is a mall that has seen better days. Walking through it, one can tell it was once a nice place. Now, there is a lack of quality merchandise and name stores. The anchors seem to be a dumping ground for where the other area stores of the same name send their excess. Recently, Macy's announced plans to leave. Once that happens, I can't see this mall surviving long-term. What should be its saving grace, the movie theater, even has its issues (no fresh popcorn, it's brought in in garbage bags pre-popped) and there have been security issues at the theater and in the parking lot following movies. I only see matinees there on school days so I can avoid the areas wayward youth.
YDf95gJZaq05wvo7hTQbbQ	This mall has seen better days, after removing a lot of the good places such as Barnes N noble, Starbucks, Spencer's, Ruby Tuesdays, that place with the really tasty smoothies, and now recently FYE, the mall has become a shadow of its former self to the point that I rarely go there anymore. \n\nAbout the only reasons I ever come by now are for the movies, Gamestop, and for the Asian chao, pizza, and Osaka Teriyaki chicken.
YDf95gJZaq05wvo7hTQbbQ	This place has really taken a turn for the worst, when I was young it was THE place to be. Spencer's was the best and what "cool" kid wouldn't b caught without Starbucks in their hands. But now it's just a sad shell of the mall it once was when I was a teenager...  This is on the way to being Euclid square malls ugly twin sister...  Save yourself a wasted trip head to beachwood or mentor malls.
YDf95gJZaq05wvo7hTQbbQ	It's a mall, which has lost what it takes to be a good mall !!\n\nI go there only for movies.
YDf95gJZaq05wvo7hTQbbQ	Ordered a mattress 3+ weeks ago, paid over a thousand dollars for it. Still have no received it, I call and try to get updated but them get placed on hold for 30+ minutes on hold. Customer service is terrible, not surprised they are closing. Honestly wondering if I'm actually going to get my new bed or not..
YDf95gJZaq05wvo7hTQbbQ	I went to the Macy's here and it looked like a war zone. Literally, things strewn about everywhere. I was shocked to see it in that condition, since I've never seen a department store look that way. The inside of the mall has changed dramatically since I used to go there. A lot of vacant stores and a vacant feeling inside. After Legacy Village opened, I feel like a lot of the clientele migrated over there. This place might become the next Euclid Square Mall.\n\nIt's sad, I remember going here with friends when I was in junior high and spending a lot of time. Going into Spencer's was considered the epitome of cool back then.
YDf95gJZaq05wvo7hTQbbQ	I came all the way out here from the Westsiyeed to get the last two strands of LED C9 Christmas lights from Sears, well I'm glad I did because Sears closed about 4 weeks after this. Im pretty sure this mall is holding on by a thread if their main anchor just pulled out. You may want to check it out real soon before it is gone.
uUEMrhJiL1a1pCA_I1SU7Q	First time visiting this location and ended up hang out for a while and smoking a cigar. This is a nice average Joe shop. Nothing fancy, just good cigars and interesting people
uUEMrhJiL1a1pCA_I1SU7Q	One of the best cigar shops in the country for a few reasons.  It's small-ish, but very nicely appointed and comfortable.  The clientele is extremely varied in demographics, and very friendly.  I always end up talking to people I've never met before.  The shop staff loves what they are doing and it shows.\n\nThere's a selection of the basic standard cigars everyone stocks, but then also a bunch of interesting and unusual stuff.  You can BYOB as with most shops.\n\nYou won't find a friendlier shop.
uUEMrhJiL1a1pCA_I1SU7Q	Awesome place with a huge selection of cigars. I was on my way to the airport to head home and had a couple hours to kill so I stopped in. Everyone was very friendly and helpful and I didn't have any problems feeling right at home. Very cool spot, I will definitely come back next time I'm in Phoenix!
uUEMrhJiL1a1pCA_I1SU7Q	I was on a trip to Houston, TX for the cigar festival. It was an amazing time with all my close friends. With out a doubt we ended up talking about shops across the nation and then Phoenix came up. I had just recently moved to Phoenix about 4 months before and asked some of my friends who make cigars and some reps told me I had to go to Baxters Cigars. Then know how particular I am and how everything is about atmosphere to me! From the second I walked in, Joe the owner, was nothing but happy I was there. It was like we have known each other for 10 yrs and I was just kickin it with a homie. I started to go to the shop a lot and became super close with Joe and Sug the shop manager! (All I gotta say about Sug is she's the god damn shit, and if you want to know about cigars ask her!!) ....... Enough said this shop is home and they are my family!!!
uUEMrhJiL1a1pCA_I1SU7Q	Amazing selection, great atmosphere, cool local people and whenever my lady and I feel like smoking we always know Baxters is open.
uUEMrhJiL1a1pCA_I1SU7Q	Fm DC, staying at Biltmore,  friendly staff, comfortable, great selection, great prices,a main stay while staying in Phoenix.
uUEMrhJiL1a1pCA_I1SU7Q	I have been coming here since Joe took over and the shop is great. The selection of cigars has been excellent but its the atmosphere that makes it. It doesn't matter your level of knowledge or smoking experience you will feel welcome here. The customer base is varied and you will be able to jump into a conversation anytime and feel like you are welcomed. Its a comfortable lounge with all the amenities you expect, the staff will go above and beyond to make you feel welcome.
uUEMrhJiL1a1pCA_I1SU7Q	Awesome shop.  Laid back and friendly atmosphere.  Owner Joe is a super guy and building a great business.  While I am only a visitor to the area, I will make it a point to go back to this shop.  I have been to 3-4 other cigar shops in the greater Phoenix area, and, to me, this stands far above the rest.  Highly recommended.
uUEMrhJiL1a1pCA_I1SU7Q	This place is small but AMAZING! Great customer service, great lounge to relax in and Joseph is so knowledgeable an nice!  I'm sold! Definitely a place I will continue to come to for a long time and will recommend to all of my friends.
uUEMrhJiL1a1pCA_I1SU7Q	Very welcoming staff; you will feel at home even if you don't know anything about cigars. And great selection.
uUEMrhJiL1a1pCA_I1SU7Q	Great selection. Great prices. Owner is very friendly and welcoming. People hanging out are cool. Highly recommended.
uUEMrhJiL1a1pCA_I1SU7Q	Great place to hangout, with many amenities around the Towne and Country plaza. Great and friendly customer service with staff treating everyone with first class services, weather it's the first time or frequent customer. Complimentary coffee and water is a plus too!
uUEMrhJiL1a1pCA_I1SU7Q	Found this cigar shop via Yelp while in the Phoenix area for spring training. Usually cigar shops are a little intimidating if you're a novice cigar enthusiast like myself. We came in expecting the same experience and it couldn't have been further from the truth. Joe warmly greeted us in the humidor and walked us through different cigars, what they are like and the history of the brand or individual cigar itself. It was truly a great experience and made purchasing a couple cigars a pleasurable and with confidence. Joe was even nice enough to throw in a cutter and some matches while was really valuable given that we were from out of town and didn't have those with us. Anytime I'm back in Phoenix I will be stopping in to add to my collection and hopefully getting some more teachings from Joe. I couldn't recommend these guys enough.
uUEMrhJiL1a1pCA_I1SU7Q	This place is awesome. Had a great experience and they are very military friendly. I highly recommend it!
uUEMrhJiL1a1pCA_I1SU7Q	I've had the privilege of being in the cigar community for nearly 12 years.  This is hands down the best cigar shop in the Phoenix (the Valley).  Conversation is good, cigar knowledge is high, events are scheduled regularly, and whether you are shopping for an individual stick or a plethora of boxes you will be welcome.
uUEMrhJiL1a1pCA_I1SU7Q	Fantastic Cigar store.  Knowledgeable and friendly staff.  Extensive selection.  They had an event on Saturday with #Oliva Cigars that was the best I have been to.
uUEMrhJiL1a1pCA_I1SU7Q	Madie's cigar recommendations were spot on. Just visiting AZ for vacation but would definitely make this my spot for relaxing with a stogie if I lived here.  Thanks Madie for excellent customer service!
uUEMrhJiL1a1pCA_I1SU7Q	One of my favorite places to stop into. A friendly staff and the customers are awesome. Very much, a great place to relax and buy a great cigar. Joe and Nikki are very knowledgeable with tobacco and accessories. A must visit in the Phoenix area.
uUEMrhJiL1a1pCA_I1SU7Q	If you're looking for a great relaxed cigar shop, this is the one.  This is the type of place where you immediately feel welcomed and the prices are very good too.  Joe, Nikki, and Rob give out spot on cigar advice from their large selection if you're not sure what you're looking for or want to try something new.  They even offer a military discount, which is a nice touch of class to go along with a complimentary glass of scotch or wine to enjoy with your cigar if you're going to hang out and smoke.  They even seem to enjoy staying open after their listed closing time so that you can continue enjoying that perfect cigar.  My wife and I feel like welcomed friends and not customers.
