business_id	text
--g-a85VwrdZJNf0R95GcQ	These guys are great. \n\nExtremely friendly and nice service. Food is perfect, I wish they would dim their lights and make more cosy atmosphere. The food sure deserves it. \n\nAnyway, this restaurant well deserves full five stars. \n\nFood is great. \nService is careful, accommodating and friendly. \n\nEveryone should try it out
--g-a85VwrdZJNf0R95GcQ	What a wonderful surprise, this restaurant was. This is a family owned restaurant and they are all so nice and welcoming. I had the kafta plate which was more than enough food. They do a special trick with the rice which makes it taste like no other. You will have to give it a try.
--g-a85VwrdZJNf0R95GcQ	Ordered takeout from the place and the food was great. We got the gyro salad, a side of falafel and also the gyro plate! Definitely will be coming back for more! Have been wanting to find a good mom and pops Mediterranean place nearby and this is it! Decent prices for a good amounts of food!
--g-a85VwrdZJNf0R95GcQ	fantastic to have a true Mediterranean restaurant where everything is fresh and tasty. try the yogurt drink...perfect!  chicken Sharwma was superb. my new favorite local restaurant
--g-a85VwrdZJNf0R95GcQ	All the food is very fresh and incredibly delicious. I had the falafel plate, which included not only 6 falafel patties, but a salad and a generous helping of hummus and pita. Everything was prepared to order (not ahead of time) and spiced to perfection. The staff were very friendly, to boot.
--g-a85VwrdZJNf0R95GcQ	super fresh food..great prices. ala carte and entrees both.
--g-a85VwrdZJNf0R95GcQ	Great Food! Good Service! Very friendly family owned business. I'll be back many times! I love the food. The chicken, the bread, rice, salad. Everything is great. Very fresh, quick service and wonderful.
--g-a85VwrdZJNf0R95GcQ	This probably one of the better Middle Eastern restaurants I've eaten at in Northern Phoenix and they are a very nice family run restaurant. The food is great, the prices are very good and it's very fast ... you can't beat that!
--g-a85VwrdZJNf0R95GcQ	My new favorite Mediterranean food restaurant! Great food at a great price. Wonderful customer service. The grape leaves and gyro are amazing
--g-a85VwrdZJNf0R95GcQ	I saw a sign for this place on our way to the movies this weekend. We stopped by for lunch after our movie.\n\nPlace is small and so so. Service was really good.\nWe had the humus with meat (great idea), hubby had a gyro sandwich (pita wrap) and he loved it. Fries were good too, tasty and crunchy.\n\nI had ordered a cubideh sandwich (wrap) but ended up just eating the humus, and taking the wrap home.\n\nHubby thought humus was kind of bland, I thought it was OK.  The meat was like hamburger meat but with herbs and spices, I liked it very much. The portion was reasonable (~$8, it is an appetizer).\n\nWe want to come back to try the grape leaves, the baba ganoush, and the tabouleh.
--g-a85VwrdZJNf0R95GcQ	Very Cool Mom and Pop restaurant serving some delicious and very affordable middle eastern food. You can dine inside their cozy restaurant or have them fix you up for some tasty take out.\n\nBelieve or not we used to live right behind this restaurant before they built the SR51. Sure wish they were here back then. We could have easily walked right up or taken our bikes and had one of those stimulating Green Earth experiences.\n\nCame in here the first time and went with the standard Gyro combo with fries and a drink. Caught an eye of the Baklava sitting nearby and had to also get one of those bad boys. Food was very tasty and I made sure to bring the wife back for a return visit.\n\nThe menu is pretty good sized and has all the popular favorites that you can imagine. Gyros, Kababs, Shawarmas, Falafel, Hummus and then some. I also really like the take out menu. It is nicely done and has several pictures of all the different items. Nice!\n\nThe owners are both super friendly and excited when you arrive. We even talked baklava recipes for a moment while we were settling up. They make theirs the same way we do using pistachios and a touch of cardamom and a hint of rose water in the syrup.\n\nRight next to the large movie theater in the adjacent Rad Shack parking lot. See you there next time. KEEP IT LOCAL WHEN CAN!\n\n4 STARS
--g-a85VwrdZJNf0R95GcQ	Delicious. The salad is outstanding. The kebobs were outstanding. The humus is bland, bit well made. The iced tea is terrific. The staff are friendly. The prices are reasonable and the servings large. I had to try the beef egg roll; quite different and fun. We will definitely return.
--g-a85VwrdZJNf0R95GcQ	Love this place! Great tabouleh, falafel and kibbeh. Decor is a little antiseptic so best bet is takeout. Family run business which is great. We have generally went to Sabas but after trying Kabob house we haven't been back to Sabas once.
--g-a85VwrdZJNf0R95GcQ	This place is FANTASTIC! Very generous portions for the amount of money your meal costs. Get the gyros!  So delicious. Everything is made fresh to order. Their hummus with the ground beef was very good. This place, while not fancy, definitely is comparable to The Persian Room at a fraction of the cost.
--g-a85VwrdZJNf0R95GcQ	Our new favorite resturant for a weekday date night! We werent sure what to expect at first when walked in. Though we were happily surprised by both the great food and kindness of the employees! We ordered the Gyro plate and the Kabab Koobideh plate. They both came with a generous portion of rice and a wonderful half salad and at a decent price! It left us full but not overly stuffed. We'll definitely be back with friends and look forward to trying more of the unquie menu.
--g-a85VwrdZJNf0R95GcQ	This place is AMAZING and DELICIOUS!!!! The food is authentic and made to order. I would come here everyday if I lived closer. Don't miss this tasty and satisfying new restaurant!!!!!
--g-a85VwrdZJNf0R95GcQ	Unhappy about the hours. Change the yelp ad. You guys are closed Sunday! I drove all the way out to get my favorite food to find you are closed.... Common now!!
--g-a85VwrdZJNf0R95GcQ	The service was great and the variety on menu good. All food prepared up front visible to the customer which I like. The food was great, be prepared to leave full.
--g-a85VwrdZJNf0R95GcQ	I was in the Kabab House for the first time on Sunday night and I simply loved it. Great family owned business that had fresh food & a great feel to it. I'll be going back and I would recommend it to anyone. Great experience.
--g-a85VwrdZJNf0R95GcQ	I am always SUPER excited when an authentic ethnic eatery pops up in my hood. And Kabab House definitely did not disappoint!\n\nIt is right by our house and after passing it countless times we finally decided to pick up some takeout for a late lunch.\n\nI ordered the falafel pita and my husband had the chicken schwarma pita. My husband picked it up and said the family that ran the place is so nice. The guy at the counter even gave my husband a free soda because he felt bad about the short wait for food.\n\nHe brought our food home and we were surprised when we opened our food boxes with the enormous serving of french fries that came with the pitas. They were piping hot and sprinkled with a unique seasoning. We were only able to eat about a third of the fries, since our pitas were huge as well. My falafel pita was awesome. Very flavorful. My husband loved his chicken pita and said the seasonings were perfect. They gave us sides of sriracha. That is a restaurant after my own heart.\n\nI highly recommend Kabab House. Lots of delicious food for a reasonable price served by a very nice family.
